impl,scheme,n,procs,threads,nodes,primes,total_s,serial_s,parallel_s,overhead_s,imbalance_pct,write_s
mpi,cyclic,116000000,16,1,1,6626563,3.983521,0.423159,3.553297,0.007066,0.25,0.414597
mpi,cyclic,116000000,16,1,1,6626563,3.894318,0.326684,3.559967,0.007667,0.43,0.318614
mpi,cyclic,116000000,16,1,1,6626563,3.924947,0.363438,3.553594,0.007915,0.27,0.355129
mpi,cyclic,120000000,16,1,1,6841648,4.284055,0.326987,3.948927,0.008141,5.44,0.318040
mpi,cyclic,120000000,16,1,1,6841648,4.088574,0.345563,3.735466,0.007545,0.27,0.335427
mpi,cyclic,120000000,16,1,1,6841648,4.059142,0.293303,3.740468,0.025370,0.48,0.283636
mpi,cyclic,124000000,16,1,1,7056480,7.165835,0.600650,6.552907,0.012278,40.15,0.591603
mpi,cyclic,124000000,16,1,1,7056480,4.381713,0.460564,3.908919,0.012229,0.27,0.449347
mpi,cyclic,124000000,16,1,1,7056480,4.270553,0.352591,3.909203,0.008759,0.29,0.342905
mpi,cyclic,128000000,16,1,1,7271035,4.569101,0.471481,4.089149,0.008471,0.23,0.461707
mpi,cyclic,128000000,16,1,1,7271035,4.438841,0.336392,4.087730,0.014719,0.21,0.326968
mpi,cyclic,128000000,16,1,1,7271035,4.425110,0.328913,4.087951,0.008245,0.20,0.319345
mpi,cyclic,132000000,16,1,1,7485189,4.602993,0.312489,4.281066,0.009438,0.36,0.301849
mpi,cyclic,132000000,16,1,1,7485189,5.727225,0.357752,5.358844,0.010629,19.60,0.347173
mpi,cyclic,132000000,16,1,1,7485189,4.627197,0.343006,4.274078,0.010114,0.23,0.331765
mpi,cyclic,136000000,16,1,1,7698729,4.788869,0.310515,4.465870,0.012484,0.33,0.299488
mpi,cyclic,136000000,16,1,1,7698729,4.810293,0.323240,4.471781,0.015272,0.27,0.312249
mpi,cyclic,136000000,16,1,1,7698729,7.820535,0.324734,7.484897,0.010904,13.69,0.312428
mpi,cyclic,140000000,16,1,1,7912199,5.000660,0.327226,4.663879,0.009556,0.53,0.314384
mpi,cyclic,140000000,16,1,1,7912199,4.974207,0.307928,4.651387,0.014892,0.23,0.296182
mpi,cyclic,140000000,16,1,1,7912199,5.091810,0.431421,4.649474,0.010914,0.18,0.419360
mpi,cyclic,144000000,16,1,1,8125404,5.257139,0.404749,4.841922,0.010468,0.20,0.392482
mpi,cyclic,144000000,16,1,1,8125404,5.276983,0.411821,4.855565,0.009597,0.21,0.400597
mpi,cyclic,144000000,16,1,1,8125404,5.472419,0.451648,5.011276,0.009496,2.85,0.439887
mpi,cyclic,148000000,16,1,1,8338205,5.500504,0.448114,5.042164,0.010226,0.18,0.436156
mpi,cyclic,148000000,16,1,1,8338205,5.495638,0.440399,5.039151,0.016088,0.23,0.429242
mpi,cyclic,148000000,16,1,1,8338205,5.483777,0.439921,5.034215,0.009641,0.16,0.428254
mpi,cyclic,152000000,16,1,1,8550438,5.756069,0.509308,5.231545,0.015215,0.19,0.496320
mpi,cyclic,152000000,16,1,1,8550438,7.739711,0.461126,7.268899,0.009686,27.91,0.448888
mpi,cyclic,152000000,16,1,1,8550438,5.747991,0.493209,5.244423,0.010359,0.43,0.481340
mpi,cyclic,156000000,16,1,1,8762625,5.875850,0.435967,5.430606,0.009276,0.18,0.423499
mpi,cyclic,156000000,16,1,1,8762625,11.311208,0.530234,10.769695,0.011278,22.63,0.518126
mpi,cyclic,156000000,16,1,1,8762625,6.490043,0.455750,6.024333,0.009960,9.73,0.442522
mpi,cyclic,160000000,16,1,1,8974458,6.145459,0.476142,5.658211,0.011106,0.56,0.463025
mpi,cyclic,160000000,16,1,1,8974458,7.087479,0.598300,6.464976,0.024203,12.96,0.577761
mpi,cyclic,160000000,16,1,1,8974458,6.304635,0.622007,5.667344,0.015284,0.36,0.609079
openmp,dynamic,44000000,1,16,1,2661384,1.135946,0.152364,0.975953,0.007629,0.00,0.152364
hybrid,cyclic,44000000,4,4,1,2661384,1.125033,0.111557,1.010782,0.002694,11.92,0.106000
openmp,dynamic,44000000,1,16,1,2661384,1.139579,0.111987,1.019501,0.008091,0.59,0.111987
hybrid,cyclic,44000000,4,4,1,2661384,1.051706,0.145680,0.902937,0.003089,1.32,0.140432
